date,M01AB,M01AE,N02BA,N05B,N05C
31-01-2014,127.69,99.09,152.1,354,50
28-02-2014,133.32,126.05,177,347,31
31-03-2014,137.44,92.95,147.655,232,20
30-04-2014,113.1,89.475,130.9,209,18
31-05-2014,101.79,119.933,132.1,270,23
30-06-2014,112.07,94.71,122.9,323,23
31-07-2014,117.06,95.01,129.3,348,21
31-08-2014,134.79,99.78,123.8,420,29
30-09-2014,108.78,109.094,122.1,399,14
31-10-2014,154.75,185.241,191.6,472,30
30-11-2014,138.08,100.86,142.7,489,19
31-12-2014,131.9,121.401,111.124,492,25
31-01-2015,135.91,130.349,141,463,24
28-02-2015,115.71,123.74,131.83,243,9
31-03-2015,156.04,129.386,133.8,208,13
30-04-2015,154.5,101.115,122.1,192,5
31-05-2015,160.02,119.117,136.04,194,10
30-06-2015,151.87,113.69,145.46,217,12
31-07-2015,175.61,113.81,125.5,203,6
31-08-2015,181.69,144.519,133.4,265.5,15
30-09-2015,166.22,134.122,110.4,243.5,11
31-10-2015,195.81,127.231,146.2,222,8
30-11-2015,152.78,128.233,145.9,228,18
31-12-2015,159.46,131.291,137,286,28
31-01-2016,171.65,128.402,172.5,248,24
29-02-2016,173.81,137.528,134.2,239,20
31-03-2016,156.64,180.589,148.4,250,13
30-04-2016,166.61,146.526,147.7,318,18
31-05-2016,167.36,120.861,130.55,275,18
30-06-2016,169.67,114.961,117.75,311,20
31-07-2016,203.97,141.019,137.9,240,8
31-08-2016,211.13,114.375,132.7,275.5,12
30-09-2016,172.96,126.218,116.7,307,18
31-10-2016,186.76,142.056,160.15,312,11
30-11-2016,175.18,116.85,133.85,246,27
31-12-2016,169.32,135.056,132.4,257,18
31-01-2017,0,0,0,1,0
28-02-2017,139.69,103.517,97,144,7
31-03-2017,162.85,111.055,107.35,165,9
30-04-2017,155.61,101.215,100.5,132,9
31-05-2017,143.66,118.125,98.95,148,23
30-06-2017,122.33,103.006,119.6,163,8
31-07-2017,159.67,116.206,75.2,219,15
31-08-2017,170.15,112.47,84.4,239,12
30-09-2017,138.33,118.711,88.15,223,23
31-10-2017,137.64,88.737,100.4,226,15
30-11-2017,163.85,119.78,104.45,192,15
31-12-2017,160.01,121.663,115.15,226,6
31-01-2018,132.28,109.446,101.15,229,11
28-02-2018,128.36,132.804,114.65,268,12
31-03-2018,146.16,111.764,122.3,381,42
30-04-2018,170.02,107.723,84.6,289,21
31-05-2018,160.52,103.522,89.4,259,13
30-06-2018,141.18,114.226,86.8,248,18
31-07-2018,150.18,132.549,87.2,283,19
31-08-2018,140,114.719,88.25,253,20
30-09-2018,153.52,114.992,86.5,263,12
31-10-2018,144.71,129.4,76.05,287,25
30-11-2018,172.29,105.487,102.15,252.2,22
31-12-2018,147.71,113.024,84.75,254,27
31-01-2019,179.7,222.351,99.7,295.2,23
28-02-2019,133.73,142.155,110.2,249.4,12
31-03-2019,154.52,113.118,83.35,301.4,19
30-04-2019,161.39,100.165,88.1,299.4,22
31-05-2019,168.04,97.258,104.1,265.8,26
30-06-2019,151.54,101.627,103.2,193,25
31-07-2019,181,103.541,92.8,250.6,20
31-08-2019,181.91,88.269,84.2,237,26
30-09-2019,161.07,111.437,93.5,227.8,16
31-10-2019,44.37,37.3,20.65,86,7
